SEASON_ID,Player_ID,Game_ID,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
201415,203919.0,0021401185,W,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-5.0
201415,203919.0,0021401166,W,7.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0
201415,203919.0,0021401141,L,13.0,3.0,8.0,0.375,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,3.0
201415,203919.0,0021401098,L,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
201415,203919.0,0021401082,L,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,-4.0
201415,203919.0,0021401066,L,15.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0
201415,203919.0,0021401050,W,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
201415,203919.0,0021401027,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
201415,203919.0,0021400963,L,20.0,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,5.0,4.0,-6.0
201415,203919.0,0021400894,L,23.0,6.0,8.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,0.0
201415,203919.0,0021400864,L,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
201415,203919.0,0021400852,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201415,203919.0,0021400795,L,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
201415,203919.0,0021400710,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
201415,203919.0,0021400693,W,12.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,5.0
201415,203919.0,0021400678,W,10.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,8.0
201415,203919.0,0021400616,L,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
201415,203919.0,0021400576,W,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0
201415,203919.0,0021400513,W,10.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,4.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0
201415,203919.0,0021400500,L,6.0,5.0,6.0,0.833,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0
201415,203919.0,0021400468,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
201415,203919.0,0021400412,L,10.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0
201415,203919.0,0021400401,L,5.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0
201415,203919.0,0021400176,W,13.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,-6.0
201415,203919.0,0021400166,L,17.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,0.0
201415,203919.0,0021400151,W,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-6.0
201415,203919.0,0021400045,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
201415,203500.0,0021401222,W,21.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,7.0,18.0
201415,203500.0,0021401209,W,35.0,2.0,5.0,0.4,0.0,1.0,0.0,4.0,10.0,0.4,6.0,4.0,10.0,0.0,2.0,4.0,0.0,3.0,8.0,4.0
201415,203500.0,0021401197,L,25.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,6.0,0.0,7.0,3.0,10.0,0.0,0.0,1.0,1.0,2.0,4.0,-13.0
201415,203500.0,0021401183,W,31.0,2.0,6.0,0.333,0.0,0.0,0.0,2.0,4.0,0.5,5.0,6.0,11.0,0.0,0.0,4.0,0.0,1.0,6.0,5.0
201415,203500.0,0021401157,L,26.0,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,2.0,1.0,1.0,5.0,-36.0
201415,203500.0,0021401147,L,14.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,2.0,6.0,6.0,-7.0
201415,203500.0,0021401132,L,36.0,4.0,5.0,0.8,0.0,0.0,0.0,1.0,3.0,0.333,1.0,5.0,6.0,0.0,0.0,0.0,0.0,4.0,9.0,-2.0
201415,203500.0,0021401120,L,24.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,4.0,0.25,1.0,1.0,2.0,2.0,2.0,0.0,1.0,4.0,7.0,2.0
201415,203500.0,0021401100,W,42.0,6.0,9.0,0.667,0.0,0.0,0.0,1.0,4.0,0.25,5.0,11.0,16.0,0.0,1.0,1.0,2.0,4.0,13.0,9.0
201415,203500.0,0021401090,L,23.0,2.0,6.0,0.333,0.0,0.0,0.0,1.0,5.0,0.2,5.0,9.0,14.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0
201415,203500.0,0021401071,L,22.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,4.0,-24.0
201415,203500.0,0021401056,W,30.0,5.0,6.0,0.833,0.0,0.0,0.0,6.0,6.0,1.0,3.0,7.0,10.0,3.0,2.0,0.0,1.0,5.0,16.0,19.0
201415,203500.0,0021401038,W,31.0,5.0,10.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,10.0,0.0,0.0,1.0,1.0,4.0,10.0,8.0
201415,203500.0,0021401026,W,35.0,5.0,9.0,0.556,0.0,0.0,0.0,2.0,3.0,0.667,4.0,12.0,16.0,2.0,2.0,2.0,1.0,5.0,12.0,8.0
201415,203500.0,0021401011,W,38.0,5.0,9.0,0.556,0.0,0.0,0.0,4.0,7.0,0.571,6.0,7.0,13.0,1.0,2.0,0.0,2.0,5.0,14.0,-6.0
201415,203500.0,0021400996,L,30.0,5.0,8.0,0.625,0.0,0.0,0.0,5.0,6.0,0.833,5.0,3.0,8.0,0.0,0.0,0.0,3.0,6.0,15.0,-1.0
201415,203500.0,0021400982,W,33.0,6.0,13.0,0.462,0.0,0.0,0.0,2.0,6.0,0.333,6.0,5.0,11.0,1.0,1.0,2.0,1.0,6.0,14.0,2.0
201415,203500.0,0021400971,W,21.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,1.0,4.0,5.0,9.0,2.0,1.0,2.0,0.0,2.0,3.0,-4.0
201415,203500.0,0021400957,L,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,3.0,1.0,5.0,2.0,18.0
201415,203500.0,0021400936,W,16.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,2.0,2.0,1.0,6.0,1.0
201415,203500.0,0021400765,W,12.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,0.333,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,-3.0
201415,203500.0,0021400755,L,28.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,3.0,3.0,6.0,1.0,2.0,1.0,4.0,4.0,10.0,7.0
201415,203500.0,0021400738,W,25.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,4.0,0.0,0.0,2.0,4.0,8.0,5.0
201415,203500.0,0021400723,W,27.0,5.0,7.0,0.714,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,3.0,5.0,12.0,7.0
201415,203500.0,0021400710,L,22.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,6.0,-8.0
201415,203500.0,0021400688,L,30.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,3.0,0.667,2.0,7.0,9.0,0.0,0.0,3.0,3.0,3.0,6.0,-13.0
201415,203500.0,0021400672,W,24.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,5.0,1.0,0.0,4.0,2.0,3.0,8.0,-2.0
201415,203500.0,0021400642,L,28.0,4.0,6.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,3.0,4.0,7.0,1.0,0.0,1.0,1.0,4.0,9.0,-5.0
201415,203500.0,0021400633,W,39.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,0.0,4.0,16.0,20.0,2.0,0.0,2.0,0.0,5.0,6.0,-6.0
201415,203500.0,0021400623,W,19.0,5.0,7.0,0.714,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,10.0,2.0
201415,203500.0,0021400609,W,18.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,3.0,3.0,0.0,1.0,0.0,5.0,5.0,5.0
201415,203500.0,0021400593,W,27.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2.0,5.0,7.0,2.0,0.0,0.0,3.0,4.0,3.0,-2.0
